#{"t_start": 1650551670.7761683, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,71.622918,0.0
-42.0,50,71.816355,0.0
-45.0,50,72.0238,0.0
-50.0,50,73.610259,0.0
-50.0,50,73.899483,0.0
-50.0,50,74.156831,0.0
-50.0,50,74.424686,0.0
-50.0,50,76.026121,0.0
-50.0,50,76.261492,0.0
-48.0,50,76.481938,0.0
-46.0,50,76.684411,0.0
-50.0,50,76.896795,0.0
-44.0,50,77.113286,0.0
-50.0,50,77.322114,0.0
-50.0,50,77.53052,0.0
-45.0,50,77.724957,0.0
-50.0,50,77.926735,0.0
-50.0,50,78.134253,0.0
-50.0,50,79.602929,0.0
-50.0,50,79.901694,0.0
-50.0,50,80.151009,0.0
-50.0,50,80.364438,0.0
-46.0,50,80.564903,0.0
-50.0,50,80.778332,0.0
-50.0,50,80.985344,0.0
-50.0,50,81.207785,0.0
-50.0,50,81.426053,0.0
-50.0,50,81.625583,0.0
-50.0,50,82.893408,0.0
-50.0,50,83.100876,0.0
-50.0,50,83.293105,0.0
-50.0,50,83.494601,0.0
-50.0,50,83.691084,0.0
-50.0,50,83.886519,0.0
-50.0,50,84.106969,0.0
-50.0,50,84.319365,0.0
-50.0,50,84.520826,0.0
-50.0,50,84.719294,0.0
-50.0,50,85.974101,0.0
-50.0,50,86.173267,0.0
-50.0,50,86.356812,0.0
-50.0,50,86.545344,0.0
-50.0,50,86.726578,0.0
-50.0,50,86.935019,0.0
-50.0,50,87.159421,0.0
-49.0,50,87.384817,0.0
-50.0,50,87.591266,0.0
-45.0,50,87.816662,0.0
-50.0,50,89.139199,0.0
-50.0,50,89.358611,0.0
-50.0,50,89.594761,0.0
-50.0,50,89.808233,0.0
-50.0,50,90.008733,0.0
-50.0,50,90.191253,0.0
-50.0,50,90.388701,0.0
-50.0,50,90.615143,0.0
-50.0,50,90.852782,0.0
-50.0,50,91.063822,0.0
-50.0,50,91.269247,0.0
-50.0,50,92.543207,0.0
-50.0,50,92.722701,0.0
-50.0,50,92.906251,0.0
-50.0,50,93.085335,0.0
-50.0,50,93.272878,0.0
-50.0,50,93.45838,0.0
-50.0,50,93.636034,0.0
-50.0,50,93.83355,0.0
-50.0,50,94.022003,0.0
-50.0,50,94.21651,0.0
-50.0,50,95.525385,0.0
-50.0,50,95.702911,0.0
-50.0,50,95.899385,0.0
-50.0,50,96.101425,0.0
-50.0,50,96.276954,0.0
-50.0,50,96.466448,0.0
-50.0,50,96.777618,0.0
-50.0,50,97.135688,0.0
-50.0,50,97.429873,0.0
-50.0,50,97.683196,0.0
-50.0,50,98.901177,0.0
-50.0,50,99.075218,0.0
-50.0,50,99.251746,0.0
-50.0,50,99.450216,0.0
-50.0,50,99.657661,0.0
-50.0,50,99.894029,0.0
-48.0,50,100.139372,0.0
-50.0,50,100.37694,0.0
-50.0,50,100.581393,0.0
-50.0,50,100.767935,0.0
-50.0,50,102.033651,0.0
-50.0,50,102.22514,0.0
-50.0,50,102.396681,0.0
-50.0,50,102.576272,0.0
-50.0,50,102.753768,0.0
-50.0,50,102.930255,0.0
-50.0,50,103.093071,0.0
-50.0,50,103.265611,0.0
-50.0,50,103.436147,0.0
-50.0,50,103.607653,0.0
-50.0,50,105.46144,0.0
-49.0,50,105.713773,0.0
-50.0,50,105.896301,0.0
-50.0,50,106.080464,0.0
-50.0,50,106.256957,0.0
-50.0,50,106.425548,0.0
-50.0,50,106.646914,0.0
-50.0,50,106.85339,0.0
-50.0,50,107.042928,0.0
-50.0,50,107.242865,0.0
-48.0,50,107.447317,0.0
-50.0,50,108.749544,0.0
-50.0,50,108.93929,0.0
-50.0,50,109.119807,0.0
-50.0,50,109.313316,0.0
-50.0,50,109.498793,0.0
-50.0,50,109.684324,0.0
-50.0,50,109.853132,0.0
-50.0,50,110.023677,0.0
-45.0,50,110.210176,0.0
-50.0,50,110.405654,0.0
-50.0,50,111.908322,0.0
-50.0,50,112.097776,0.0
-50.0,50,112.278291,0.0
-50.0,50,112.45286,0.0
-50.0,50,112.61658,0.0
-50.0,50,112.789119,0.0
-50.0,50,112.970672,0.0
-50.0,50,113.152148,0.0
-50.0,50,113.31922,0.0
-50.0,50,113.490797,0.0
-50.0,50,114.729494,0.0
-50.0,50,114.903028,0.0
-50.0,50,115.076565,0.0
-50.0,50,115.253138,0.0
-50.0,50,115.423738,0.0
-50.0,50,115.593329,0.0
-50.0,50,115.779785,0.0
-50.0,50,115.965289,0.0
-50.0,50,116.149796,0.0
-50.0,50,116.32736,0.0
-50.0,50,117.708865,0.0
-50.0,50,117.896373,0.0
-50.0,50,118.064101,0.0
-50.0,50,118.236638,0.0
-48.0,50,118.406142,0.0
-50.0,50,118.585697,0.0
-50.0,50,118.763258,0.0
-50.0,50,118.940755,0.0
-50.0,50,119.121232,0.0
-50.0,50,119.296425,0.0
-50.0,50,119.550294,0.0
-50.0,50,121.372978,0.0
-50.0,50,121.578161,0.0
-50.0,50,121.770625,0.0
-50.0,50,121.969122,0.0
-50.0,50,122.178708,0.0
-50.0,50,122.379199,0.0
-50.0,50,122.57937,0.0
