time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
6144,37,-49.17,166,12,50.0,-0.005016587971476838,0.3,110,0.1364879608154297,0.5265308022499084,1.7201921127736568,0.0837890625,0.012547659,55.859665769338605,5.49717e-05,5.472136974334717,,,
6656,41,-49.17,160,13,50.0,-0.003944545716512949,0.3,120,0.13669458031654358,0.5561292469501495,1.716212560981512,0.0640625,0.014321492,50.07136602401734,5.49717e-05,5.014262676239014,,,
7168,46,-49.17,154,14,50.0,-0.001462349621579051,0.3,130,0.13692769408226013,0.684680312871933,1.7116209961473943,0.0853515625,0.019557886,40.54370993971825,5.49717e-05,4.048134803771973,,,
7680,50,-49.29,151,15,50.0,0.005966000817716121,0.3,140,0.13693825900554657,0.689073920249939,1.707581425458193,0.0802734375,0.015869178,37.10331143438816,5.49717e-05,4.808757305145264,,,
8192,53,-49.43,152,16,50.0,-0.013554239965742454,0.3,150,0.1369563341140747,0.6820575892925262,1.7078607626259328,0.1423828125,0.02472439,33.66539437770844,5.49717e-05,4.396500587463379,,,
8704,58,-49.39,149,17,50.0,-0.01202744345064275,0.3,160,0.13707882165908813,0.7694139033555984,1.7061378791928292,0.10234375,0.018792223,31.868228805065154,5.49717e-05,9.916996002197266,,,
9216,62,-49.45,146,18,50.0,-0.027158143429551272,0.3,170,0.13695234060287476,0.8291663974523544,1.7058040849864482,0.137109375,0.023832064,22.963821709156036,5.49717e-05,4.82132625579834,,,
9728,66,-49.47,146,19,50.0,-0.023681772546842693,0.3,180,0.13720592856407166,0.8298042118549347,1.706487388908863,0.1640625,0.031103356,17.79047210216522,5.49717e-05,3.1583380699157715,,,
10000,,,,,,-0.018332808406557887,0.3,190,0.13743439316749573,0.8703805357217789,1.6998284317553043,0.1224609375,0.020767383,15.165173548460007,5.49717e-05,4.158709526062012,-48.8,50.0,0.0
10240,71,-49.62,143,20,50.0,,,,,,,,,,,,,,
10752,74,-49.47,143,21,50.0,-0.033280166948679836,0.3,200,0.13756486773490906,0.8959518894553185,1.6954546116292477,0.1720703125,0.044530023,15.2893578261137,5.49717e-05,4.690152168273926,,,
