#{"t_start": 1650554200.7846, "env_id": "PandaReachDense-v2"}
r,l,t,is_success
-9.215253,50,2.575551,0.0
-3.330853,50,2.751081,0.0
-10.118558,50,2.920627,0.0
-5.530862,50,3.099193,0.0
-11.264697,50,3.267699,0.0
-10.878008,50,3.438245,0.0
-11.200376,50,3.615812,0.0
-11.150113,50,3.785295,0.0
-13.020745,50,3.957796,0.0
-3.8893,50,4.129407,0.0
-4.832491,50,5.306778,0.0
-12.493477,50,5.47433,0.0
-5.072086,50,5.644872,0.0
-6.489856,50,5.815374,0.0
-5.946473,50,5.998881,0.0
-6.779322,50,6.186408,0.0
-14.800201,50,6.37142,0.0
-4.396593,50,6.551937,0.0
-9.601508,50,6.726469,0.0
-10.397873,50,6.91696,0.0
-9.090622,50,9.107293,0.0
-11.613686,50,9.355628,0.0
-7.31736,50,9.596984,0.0
-3.801439,50,9.817422,0.0
-6.954901,50,10.013912,0.0
-12.101297,50,10.20037,0.0
-13.935187,50,10.392928,0.0
-9.190477,50,10.564944,0.0
-10.926978,50,10.742487,0.0
-9.144801,50,10.917017,0.0
-5.059979,50,12.150352,0.0
-4.147535,50,12.341797,0.0
-11.571265,50,12.522349,0.0
-6.719852,50,12.702867,0.0
-7.399035,50,12.874374,0.0
-9.118497,50,13.054935,0.0
-3.2531,50,13.239928,0.0
-9.907813,50,13.408477,0.0
-7.387072,50,13.586029,0.0
-4.111503,50,13.762529,0.0
-4.862119,50,15.821647,0.0
-8.142081,50,16.044558,0.0
-7.504477,50,16.268958,0.0
-5.197308,50,16.489417,0.0
-5.172134,50,16.701848,0.0
-6.7873,50,16.879416,0.0
-4.897164,50,17.049963,0.0
-5.360339,50,17.224452,0.0
-5.751357,50,17.418539,0.0
-6.214326,50,17.620035,0.0
-5.36852,50,17.809495,0.0
-11.68667,50,19.018646,0.0
-5.431908,50,19.189148,0.0
-8.855557,50,19.364643,0.0
-6.730491,50,19.537218,0.0
-14.141861,50,19.716702,0.0
-8.75484,50,19.903282,0.0
-4.460969,50,20.074278,0.0
-10.02095,50,20.245861,0.0
-4.747717,50,20.410422,0.0
-11.039694,50,21.39143,0.0
-3.919269,50,22.793817,0.0
-2.16641,50,23.020207,0.0
-8.262665,50,23.224623,0.0
-6.996105,50,23.402149,0.0
-8.636212,50,23.579673,0.0
-7.197925,50,23.749262,0.0
-4.347283,50,23.920803,0.0
-8.957377,50,24.093299,0.0
-8.400022,50,24.2879,0.0
-7.578446,50,24.460437,0.0
-6.114882,50,25.645838,0.0
-6.078971,50,25.834291,0.0
-5.429577,50,26.016803,0.0
-6.278113,50,26.186351,0.0
-6.389095,50,26.36591,0.0
-8.602345,50,26.535645,0.0
-6.696027,50,26.707145,0.0
-8.342949,50,26.879204,0.0
-8.492162,50,27.048785,0.0
-9.170161,50,28.064037,0.0
-8.131029,50,29.265683,0.0
-11.465441,50,29.435151,0.0
-4.807392,50,29.610826,1.0
-7.369143,50,29.788397,0.0
-4.537828,50,29.959895,1.0
-6.711552,50,30.133429,0.0
-5.005728,50,30.300983,0.0
-7.461452,50,30.469531,0.0
-7.854337,50,30.644064,0.0
-10.203569,50,30.820637,0.0
-3.921619,50,30.99579,0.0
-4.642506,50,32.202061,0.0
-7.917639,50,32.370879,0.0
-8.940557,50,32.533444,0.0
-4.023913,50,32.703018,0.0
-10.878605,50,32.876528,0.0
-10.59391,50,33.050063,0.0
-8.077192,50,33.24554,0.0
-9.812468,50,33.439023,0.0
-9.348831,50,34.486938,0.0
-2.511223,50,34.6754,0.0
-10.184658,50,36.210816,0.0
-9.317455,50,36.456209,0.0
-5.191613,50,36.666617,0.0
-5.274581,50,36.861176,1.0
-6.557804,50,37.031684,0.0
-7.609916,50,37.210166,0.0
-4.754251,50,37.386735,0.0
-6.913228,50,37.559232,0.0
-9.317009,50,37.727419,0.0
-4.429515,50,37.898084,0.0
-4.954893,50,39.132146,0.0
-8.190693,50,39.303688,0.0
-5.557395,50,39.48221,0.0
-4.252059,50,39.652753,0.0
-4.132697,50,39.836305,0.0
