rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/success_rate,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef
-27.28,50.0,96,53,5200,0.49,104,,,,-5.442447185516357,0.06827189773321152,4199,0.001,-0.23494493961334229,0.03035080060362816
-25.36,50.0,100,53,5400,0.53,108,,,,-6.003379821777344,0.05596047639846802,4399,0.001,-0.16089454293251038,0.026395108550786972
-23.41,50.0,104,53,5600,0.57,112,,,,-6.377524375915527,0.04314517602324486,4599,0.001,-0.13907310366630554,0.022911973297595978
-21.48,50.0,108,53,5800,0.61,116,,,,-6.8201751708984375,0.03959033265709877,4799,0.001,-0.06322924792766571,0.019869279116392136
,,,,6000,,,50.0,1.0,-1.2,-6.942294597625732,0.02822275273501873,4999,0.001,-0.2513137459754944,0.01723213493824005
-19.53,50.0,114,52,6000,0.65,120,,,,,,,,,
-17.61,50.0,118,52,6200,0.69,124,,,,-5.946537971496582,0.03699227795004845,5199,0.001,-0.1039791852235794,0.014936455525457859
-15.69,50.0,123,51,6400,0.73,128,,,,-5.643195152282715,0.037047162652015686,5399,0.001,-0.13157862424850464,0.012969940900802612
-13.78,50.0,128,51,6600,0.77,132,,,,-6.333034515380859,0.036670584231615067,5599,0.001,-0.05723044276237488,0.011315889656543732
-11.88,50.0,132,51,6800,0.81,136,,,,-5.04802942276001,0.056495942175388336,5799,0.001,0.004476308822631836,0.009857411496341228
,,,,7000,,,50.0,1.0,-1.8,-4.600723743438721,0.026750359684228897,5999,0.001,-0.020487546920776367,0.008679152466356754
-9.98,50.0,137,51,7000,0.85,140,,,,,,,,,
-8.09,50.0,141,50,7200,0.89,144,,,,-6.546905517578125,0.02209208533167839,6199,0.001,-0.11360131204128265,0.0076563674956560135
-6.3,50.0,145,50,7400,0.93,148,,,,-3.4187307357788086,0.03610695153474808,6399,0.001,0.026936441659927368,0.006771912798285484
-5.02,50.0,149,50,7600,0.95,152,,,,-2.2715139389038086,0.030495263636112213,6599,0.001,0.05897851288318634,0.006030215881764889
-3.17,50.0,153,50,7800,0.99,156,,,,-4.759211540222168,0.02851298078894615,6799,0.001,0.016207948327064514,0.00542906578630209
,,,,8000,,,50.0,1.0,-1.8,-3.477992057800293,0.03049790859222412,6999,0.001,-0.0011768937110900879,0.004870119038969278
-2.3,50.0,158,50,8000,0.99,160,,,,,,,,,
-2.21,50.0,162,50,8200,0.99,164,,,,-1.2740776538848877,0.027625303715467453,7199,0.001,0.14085504412651062,0.004406775813549757
-2.11,50.0,166,50,8400,0.99,168,,,,-4.046125888824463,0.03716636076569557,7399,0.001,0.08558572828769684,0.003994811326265335
-2.07,50.0,169,50,8600,0.99,172,,,,-2.228992462158203,0.025415251031517982,7599,0.001,0.08330458402633667,0.003655988723039627
-1.98,50.0,173,50,8800,1.0,176,,,,2.8998165130615234,0.027435172349214554,7799,0.001,0.2367231845855713,0.003411051817238331
,,,,9000,,,50.0,1.0,-1.8,-1.6618266105651855,0.025618914514780045,7999,0.001,0.14983156323432922,0.0031137089245021343
-1.99,50.0,178,50,9000,1.0,180,,,,,,,,,
-1.96,50.0,181,50,9200,1.0,184,,,,0.2753556966781616,0.025814369320869446,8199,0.001,0.13619381189346313,0.0029188767075538635
-1.9,50.0,185,50,9400,1.0,188,,,,0.187821626663208,0.02945205196738243,8399,0.001,0.2641682028770447,0.002710412023589015
-1.84,50.0,189,50,9600,1.0,192,,,,1.547120213508606,0.02835107408463955,8599,0.001,0.2660534381866455,0.002560804132372141
-1.83,50.0,192,50,9800,1.0,196,,,,-2.130114793777466,0.017067324370145798,8799,0.001,0.15379595756530762,0.002447247039526701
,,,,10000,,,50.0,1.0,-1.6,-1.552842140197754,0.01783757656812668,8999,0.001,0.11058083176612854,0.0023714068811386824
-1.86,50.0,197,50,10000,1.0,200,,,,,,,,,
-1.82,50.0,200,50,10200,1.0,204,,,,-1.5868346691131592,0.01886659860610962,9199,0.001,0.10650061815977097,0.002243343973532319
-1.84,50.0,204,50,10400,1.0,208,,,,-3.504161834716797,0.015190660953521729,9399,0.001,0.06656017899513245,0.002194070490077138
-1.87,50.0,208,50,10600,1.0,212,,,,1.8765188455581665,0.013017715886235237,9599,0.001,0.3152402639389038,0.002093738177791238
-1.89,50.0,211,50,10800,1.0,216,,,,-3.005587100982666,0.01178495679050684,9799,0.001,0.2491828352212906,0.0019330481300130486
,,,,11000,,,50.0,1.0,-1.4,1.6875834465026855,0.01749682053923607,9999,0.001,0.22295886278152466,0.001865597441792488
-1.91,50.0,216,50,11000,1.0,220,,,,,,,,,
-1.91,50.0,219,50,11200,1.0,224,,,,3.7225427627563477,0.02519214153289795,10199,0.001,0.3222038149833679,0.0018078654538840055
-1.91,50.0,223,50,11400,1.0,228,,,,0.45748111605644226,0.01980155147612095,10399,0.001,0.18752101063728333,0.0017320048063993454
-1.91,50.0,227,51,11600,1.0,232,,,,1.8862693309783936,0.015910275280475616,10599,0.001,0.3990477919578552,0.0017014701152220368
-1.91,50.0,231,50,11800,1.0,236,,,,-0.7502158284187317,0.012920623645186424,10799,0.001,0.23477384448051453,0.0015908327186480165
