#{"t_start": 1650505153.9984555, "env_id": "PandaReach-v2"}
r,l,t,is_success
-2.0,50,196.366967,1.0
-3.0,50,197.300866,1.0
-2.0,50,198.189239,1.0
-2.0,50,199.816798,1.0
-1.0,50,200.713865,1.0
-2.0,50,201.617342,1.0
-3.0,50,202.508172,1.0
-2.0,50,203.42172,1.0
-3.0,50,204.351815,1.0
-2.0,50,205.280237,1.0
-3.0,50,206.260686,1.0
0.0,50,207.210982,1.0
-3.0,50,208.1542,1.0
-3.0,50,209.085785,1.0
-1.0,50,209.988534,1.0
-1.0,50,210.886088,1.0
-2.0,50,211.781704,1.0
-3.0,50,212.677426,1.0
-1.0,50,213.57891,1.0
-3.0,50,214.47814,1.0
-1.0,50,215.396294,1.0
-1.0,50,216.323585,1.0
-2.0,50,217.249654,1.0
-2.0,50,218.980001,1.0
-2.0,50,219.897552,1.0
-2.0,50,220.789866,1.0
-2.0,50,221.685887,1.0
-2.0,50,222.579694,1.0
-2.0,50,223.477181,1.0
-2.0,50,224.467251,1.0
-2.0,50,225.384725,1.0
-2.0,50,226.289774,1.0
0.0,50,227.181823,1.0
-2.0,50,228.112878,1.0
-3.0,50,229.066832,1.0
-1.0,50,230.000649,1.0
-3.0,50,230.959173,1.0
-3.0,50,232.082129,1.0
-2.0,50,233.374715,1.0
-2.0,50,234.38644,1.0
