rollout/success_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.93,140,148,-5.83,52,7400,50.0,,,,0.006144145503640175,0.001,6399,-0.04164731502532959,0.013741092756390572,-7.258200645446777
0.96,143,152,-4.47,52,7600,50.0,,,,0.005419829394668341,0.001,6599,-0.17651431262493134,0.023279376327991486,-5.065642356872559
1.0,147,156,-2.73,52,7800,50.0,,,,0.004809452686458826,0.001,6799,-0.18058200180530548,0.03471466153860092,-4.493089199066162
,,,,,8000,,1.0,50.0,-1.2,0.00428685313090682,0.001,6999,0.059174537658691406,0.024009518325328827,-2.579369306564331
1.0,152,160,-2.32,52,8000,50.0,,,,,,,,,
1.0,155,164,-2.16,52,8200,50.0,,,,0.0038252859376370907,0.001,7199,0.07804000377655029,0.021207958459854126,-3.061081886291504
1.0,159,168,-2.0,52,8400,50.0,,,,0.003449103096500039,0.001,7399,-0.06549913436174393,0.027586404234170914,-4.980106353759766
1.0,163,172,-1.94,52,8600,50.0,,,,0.0030924342572689056,0.001,7599,0.003238171339035034,0.023005429655313492,-2.36844801902771
1.0,166,176,-1.9,52,8800,50.0,,,,0.0028193870093673468,0.001,7799,0.1092357188463211,0.020112348720431328,-1.0580317974090576
,,,,,9000,,1.0,50.0,-1.4,0.002565855858847499,0.001,7999,0.00025919079780578613,0.016195669770240784,-0.6806273460388184
1.0,171,180,-1.9,52,9000,50.0,,,,,,,,,
1.0,175,184,-1.87,52,9200,50.0,,,,0.002410284709185362,0.001,8199,-0.056859564036130905,0.01477709412574768,-4.206828594207764
1.0,179,188,-1.8,52,9400,50.0,,,,0.0022405527997761965,0.001,8399,-0.03184895217418671,0.021735837683081627,-3.0339043140411377
1.0,184,192,-1.76,52,9600,50.0,,,,0.0020833611488342285,0.001,8599,-0.022951819002628326,0.022606413811445236,-3.7916061878204346
1.0,188,196,-1.74,52,9800,50.0,,,,0.0019408913794904947,0.001,8799,0.05014513432979584,0.01710149645805359,-3.0866262912750244
,,,,,10000,,1.0,50.0,-1.6,0.0018164622597396374,0.001,8999,0.18880216777324677,0.024881094694137573,1.6936867237091064
1.0,193,200,-1.73,51,10000,50.0,,,,,,,,,
