#{"t_start": 1650551889.6136928, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,2.581265,0.0
-50.0,50,2.709951,0.0
-50.0,50,2.833591,0.0
-50.0,50,2.960294,0.0
-50.0,50,3.104908,0.0
-50.0,50,3.215569,0.0
-46.0,50,3.329267,0.0
-50.0,50,3.435981,0.0
-50.0,50,3.569624,0.0
-50.0,50,3.683318,0.0
-50.0,50,3.800525,0.0
-50.0,50,3.911264,0.0
-45.0,50,4.025965,0.0
-50.0,50,4.140616,0.0
-50.0,50,4.26229,0.0
-50.0,50,4.379042,0.0
-49.0,50,4.503199,0.0
-50.0,50,4.603899,0.0
-50.0,50,4.708625,0.0
-48.0,50,4.815105,0.0
-50.0,50,7.424695,0.0
-50.0,50,8.501609,0.0
-50.0,50,9.456175,0.0
-50.0,50,10.356597,0.0
-43.0,50,11.297915,0.0
-47.0,50,12.205139,1.0
-50.0,50,13.169913,0.0
-50.0,50,14.087141,0.0
-50.0,50,15.08988,0.0
-50.0,50,16.388286,0.0
-50.0,50,17.61475,0.0
-50.0,50,18.54971,0.0
-50.0,50,19.482472,0.0
-49.0,50,20.428686,0.0
-49.0,50,21.338526,0.0
-50.0,50,22.252337,0.0
-50.0,50,23.223853,0.0
-50.0,50,24.147403,0.0
-50.0,50,25.316845,0.0
-50.0,50,26.320267,0.0
-50.0,50,28.507279,0.0
-50.0,50,29.857405,0.0
-38.0,50,30.951226,0.0
-48.0,50,32.297046,0.0
-50.0,50,33.253377,0.0
-47.0,50,34.207531,0.0
-50.0,50,35.15952,0.0
-35.0,50,36.229568,0.0
-50.0,50,37.230972,0.0
-50.0,50,38.168719,0.0
-40.0,50,39.221213,0.0
-4.0,50,40.60893,1.0
-47.0,50,41.54504,0.0
-49.0,50,42.432269,0.0
-36.0,50,43.330517,0.0
-48.0,50,44.218511,0.0
-5.0,50,45.158109,1.0
-25.0,50,46.10771,1.0
-13.0,50,47.035745,1.0
-5.0,50,48.294568,1.0
-7.0,50,50.49445,1.0
-9.0,50,51.759161,1.0
-3.0,50,52.807819,1.0
-3.0,50,53.707848,1.0
-7.0,50,54.611844,1.0
-4.0,50,55.513565,1.0
-5.0,50,56.406519,1.0
-7.0,50,57.303129,1.0
-4.0,50,58.225233,1.0
-2.0,50,59.120242,1.0
-6.0,50,60.01692,1.0
-3.0,50,60.937347,1.0
-3.0,50,61.885303,1.0
-3.0,50,62.810519,1.0
-2.0,50,63.758441,1.0
-3.0,50,64.985688,1.0
-2.0,50,66.459577,1.0
-2.0,50,67.502294,1.0
-1.0,50,68.516513,1.0
-4.0,50,69.481331,1.0
-3.0,50,71.331584,1.0
-1.0,50,72.578825,1.0
-2.0,50,73.597107,1.0
