#{"t_start": 1650554376.156903, "env_id": "PandaReachDense-v2"}
r,l,t,is_success
-10.17153,50,62.091296,0.0
-12.342513,50,62.266786,0.0
-8.215554,50,62.456249,0.0
-9.562365,50,62.620851,0.0
-11.935574,50,62.803043,0.0
-8.099462,50,62.994975,0.0
-13.26921,50,63.198431,0.0
-8.316792,50,63.418879,0.0
-8.214451,50,63.609334,0.0
-5.701911,50,64.956905,0.0
-6.865631,50,65.168353,0.0
-6.32101,50,65.370773,0.0
-11.78308,50,65.57229,0.0
-12.897083,50,65.74978,0.0
-8.137416,50,65.956228,0.0
-9.980065,50,67.300962,0.0
-7.603095,50,67.55628,0.0
-10.624392,50,67.819576,0.0
-12.724972,50,68.072035,0.0
