#{"t_start": 1650615630.370391, "env_id": "CartPole-v0"}
r,l,t
23.0,23,3.073193
10.0,10,3.250822
75.0,75,3.628033
31.0,31,3.808703
32.0,32,3.977252
15.0,15,3.995205
11.0,11,4.133849
10.0,10,4.145817
13.0,13,4.161774
45.0,45,4.482915
17.0,17,4.505855
41.0,41,4.807049
14.0,14,4.824003
39.0,39,5.008207
15.0,15,5.149828
28.0,28,5.358799
13.0,13,5.376753
23.0,23,5.536882
20.0,20,5.561852
17.0,17,5.710466
22.0,22,5.871135
22.0,22,5.896068
11.0,11,6.037682
12.0,12,6.052649
18.0,18,6.201252
11.0,11,6.214224
18.0,18,6.236159
14.0,14,6.396728
16.0,16,6.415673
11.0,11,6.55726
11.0,11,6.571264
13.0,13,6.587221
16.0,16,6.732845
18.0,18,6.876991
36.0,36,7.046539
23.0,23,7.078453
42.0,42,7.389742
41.0,41,7.575308
52.0,52,7.885478
198.0,198,8.872768
146.0,146,9.569067
30.0,30,9.727689
44.0,44,10.019903
21.0,21,10.045834
23.0,23,10.191445
48.0,48,10.498582
67.0,67,10.889374
46.0,46,11.069889
23.0,23,11.22348
42.0,42,11.419955
18.0,18,11.581478
47.0,47,11.78796
175.0,175,12.823927
102.0,102,13.366648
98.0,98,14.105218
180.0,180,15.277909
66.0,66,15.805613
144.0,144,16.59724
200.0,200,17.731205
200.0,200,18.995203
35.0,35,19.163273
200.0,200,20.298625
98.0,98,20.876654
41.0,41,21.077153
32.0,32,21.258633
50.0,50,21.595774
118.0,118,22.200636
93.0,93,22.708278
200.0,200,23.955947
73.0,73,24.326346
35.0,35,24.510853
39.0,39,24.70393
38.0,38,24.914368
58.0,58,25.635442
47.0,47,26.090499
53.0,53,26.343823
41.0,41,26.726798
33.0,33,26.90931
22.0,22,26.937235
32.0,32,27.102736
35.0,35,27.293753
19.0,19,27.445348
27.0,27,27.611903
36.0,36,27.79242
25.0,25,27.953988
28.0,28,28.128521
31.0,31,28.297071
91.0,91,28.675079
200.0,200,29.869184
134.0,134,30.536146
112.0,112,31.091662
105.0,105,31.744934
100.0,100,32.243601
115.0,115,32.762736
61.0,61,33.0842
51.0,51,33.406338
41.0,41,33.589168
36.0,36,33.787637
28.0,28,33.953195
45.0,45,34.25241
96.0,96,34.749082
101.0,101,35.271902
41.0,41,35.464893
51.0,51,35.84388
43.0,43,36.033374
33.0,33,36.233839
58.0,58,36.60684
37.0,37,36.795845
41.0,41,36.980352
26.0,26,37.13838
32.0,32,37.309922
58.0,58,37.63206
37.0,37,37.81557
46.0,46,38.012524
39.0,39,38.314732
54.0,54,38.503229
50.0,50,38.833855
89.0,89,39.376244
73.0,73,39.894354
89.0,89,40.507995
79.0,79,40.855578
62.0,62,41.254863
107.0,107,41.943026
152.0,152,42.945346
200.0,200,44.534548
200.0,200,45.729555
200.0,200,47.028156
200.0,200,48.438808
200.0,200,49.651802
200.0,200,50.895097
200.0,200,52.061268
200.0,200,53.11958
200.0,200,54.262165
200.0,200,55.25219
200.0,200,56.316935
200.0,200,57.399392
200.0,200,58.531957
200.0,200,59.985294
200.0,200,61.024427
200.0,200,63.18297
200.0,200,64.560628
200.0,200,66.048069
200.0,200,67.531223
200.0,200,68.812798
200.0,200,70.140835
200.0,200,71.312947
200.0,200,72.39663
200.0,200,73.473896
200.0,200,74.695903
200.0,200,75.705195
200.0,200,76.714895
200.0,200,77.784791
200.0,200,78.930462
200.0,200,79.922166
200.0,200,80.923607
200.0,200,81.959854
200.0,200,83.094827
200.0,200,84.126901
200.0,200,85.134077
200.0,200,86.135751
200.0,200,87.247573
200.0,200,88.321697
200.0,200,89.357529
200.0,200,90.41469
200.0,200,91.653219
200.0,200,92.698946
200.0,200,93.774086
200.0,200,94.952319
200.0,200,96.261186
200.0,200,97.912822
200.0,200,99.518131
200.0,200,100.647328
200.0,200,101.764494
200.0,200,102.760037
200.0,200,103.792931
200.0,200,104.845364
200.0,200,106.233006
200.0,200,107.318297
200.0,200,108.365736
200.0,200,109.379596
200.0,200,110.530968
200.0,200,111.609449
200.0,200,112.607104
200.0,200,113.682849
200.0,200,114.891312
200.0,200,115.878774
200.0,200,116.936664
200.0,200,117.937793
200.0,200,119.06747
200.0,200,121.146506
200.0,200,122.364131
200.0,200,123.488933
200.0,200,124.612365
200.0,200,125.60823
200.0,200,126.613305
200.0,200,127.6058
200.0,200,128.828982
200.0,200,129.838913
200.0,200,130.877777
200.0,200,131.864514
200.0,200,132.987031
200.0,200,134.062005
200.0,200,135.066204
200.0,200,136.075686
200.0,200,137.19591
200.0,200,138.232372
200.0,200,139.241878
200.0,200,140.237997
200.0,200,141.378911
200.0,200,142.374764
200.0,200,143.376382
200.0,200,144.427571
200.0,200,145.570122
200.0,200,146.624348
200.0,200,147.623226
200.0,200,148.640985
200.0,200,149.788228
200.0,200,150.877996
200.0,200,151.941553
200.0,200,152.965629
200.0,200,154.077142
200.0,200,155.089588
200.0,200,156.194654
200.0,200,157.323692
200.0,200,158.520999
200.0,200,159.564367
200.0,200,160.60807
200.0,200,161.742858
200.0,200,162.877168
200.0,200,163.864238
200.0,200,164.913364
200.0,200,165.945365
200.0,200,167.180304
200.0,200,168.197473
200.0,200,169.193511
200.0,200,170.205846
200.0,200,171.353631
200.0,200,172.440523
200.0,200,173.454043
