time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
169,51.23529411764706,21,51.23529411764706,113,3616,2240,-0.005801692605018616,0.008397863,-0.5868254780769349,-3.36716890335083,0.2,0.27473801374435425,0.9643299460411072,0.0003,0.025,,
169,51.23529411764706,21,51.23529411764706,114,3648,2260,-0.008877393789589405,0.013390782,-0.5632565408945084,-0.4870809316635132,0.2,0.19909165799617767,0.746162673830986,0.0003,0.0515625,,
170,51.23529411764706,21,51.23529411764706,115,3680,2280,-0.035303241945803164,0.041281335,-0.5837914824485779,0.24929338693618774,0.2,0.2051827609539032,0.674324807524681,0.0003,0.3296875,,
170,53.391304347826086,21,53.391304347826086,116,3712,2300,-0.05630201874300837,0.1039388,-0.5556635200977326,-1.142833948135376,0.2,0.014419995248317719,0.6922561936080456,0.0003,0.3890625,,
170,53.391304347826086,22,53.391304347826086,117,3744,2320,-0.0036177066154778003,0.0042222748,-0.5238913267850875,0.3520854115486145,0.2,0.11616112291812897,0.46182668805122373,0.0003,0.0140625,,
170,53.67142857142857,22,53.67142857142857,118,3776,2340,-0.0662497933022678,0.14257109,-0.5032729282975197,0.754183441400528,0.2,-0.008646972477436066,0.3723696507513523,0.0003,0.43125,,
170,53.40845070422535,22,53.40845070422535,119,3808,2360,0.003503378573805094,0.0012047868,-0.47327027916908265,0.039912521839141846,0.2,54.53811264038086,113.28629646301269,0.0003,0.0,,
170,53.208333333333336,22,53.208333333333336,120,3840,2380,-0.0013054349459707738,9.8623335e-05,-0.45662467926740646,0.009374916553497314,0.2,56.87052536010742,115.57295799255371,0.0003,0.0,,
170,53.0,22,53.0,121,3872,2400,-0.0001136699691414833,8.876808e-05,-0.5115349948406219,0.03040260076522827,0.2,53.90614318847656,110.48123397827149,0.0003,0.0,,
168,53.0,23,53.0,122,3904,2420,-0.0013795257546007633,0.0003762655,-0.48687493801116943,0.021724045276641846,0.2,53.26618194580078,108.86293258666993,0.0003,0.0,,
167,53.067567567567565,23,53.067567567567565,123,3936,2440,2.3816432803869248e-05,2.2387132e-05,-0.47855486869812014,0.3665294051170349,0.2,0.3785598874092102,0.9093274027109146,0.0003,0.0,,
167,53.067567567567565,23,53.067567567567565,124,3968,2460,-0.0024248206987977027,0.0005401615,-0.5050555348396302,0.08040672540664673,0.2,47.55833435058594,100.59873542785644,0.0003,0.0,,
166,52.986666666666665,23,52.986666666666665,125,4000,2480,-0.0065463375300168995,0.007033685,-0.45556814670562745,0.7700783461332321,0.2,0.283423513174057,0.7546274155378342,0.0003,0.0296875,,
166,52.98684210526316,24,52.98684210526316,126,4032,2500,-5.23637980222702e-05,0.0003268933,-0.48886143416166306,0.11088979244232178,0.2,44.97128677368164,95.40775337219239,0.0003,0.0,,
166,52.98684210526316,24,52.98684210526316,127,4064,2520,-0.003675343282520771,0.0011631101,-0.5117831945419311,0.22610974311828613,0.2,28.455949783325195,74.79711017608642,0.0003,0.0,,
166,52.83116883116883,24,52.83116883116883,128,4096,2540,-0.03369363956153393,0.040198624,-0.5408328324556351,0.8743880689144135,0.2,0.21575777232646942,0.793113648891449,0.0003,0.1921875,,
166,52.18987341772152,24,52.18987341772152,129,4128,2560,0.001361989974975586,0.002029268,-0.513313153386116,0.455974817276001,0.2,19.581172943115234,50.926414489746094,0.0003,0.009375,,
166,51.9375,24,51.9375,130,4160,2580,0.00018328642472624778,1.5689991e-05,-0.5076899826526642,0.22490614652633667,0.2,66.14099884033203,154.86342163085936,0.0003,0.0,,
166,51.72839506172839,25,51.72839506172839,131,4192,2600,-0.0010498941875994206,9.7996555e-05,-0.5142938584089279,0.6381776034832001,0.2,8.33142375946045,33.703132247924806,0.0003,0.0,,
166,51.329268292682926,25,51.329268292682926,132,4224,2620,-0.009877550415694714,0.0016046157,-0.4429244980216026,0.6980073153972626,0.2,5.433638572692871,26.104592037200927,0.0003,0.0,,
167,51.036144578313255,25,51.036144578313255,133,4256,2640,-0.005212732683867216,0.0025642095,-0.40523036271333696,0.5609995126724243,0.2,11.969271659851074,37.25718221664429,0.0003,0.0,,
167,50.857142857142854,25,50.857142857142854,134,4288,2660,-0.0027829539962112904,0.0008149734,-0.44658742249011996,0.8847672045230865,0.2,3.131135940551758,11.778342008590698,0.0003,0.0,,
167,50.55294117647059,25,50.55294117647059,135,4320,2680,-0.017013557627797125,0.004021204,-0.437218676507473,0.8938509300351143,0.2,3.0315706729888916,11.570065355300903,0.0003,0.0,,
167,50.2906976744186,25,50.2906976744186,136,4352,2700,-0.03942176653072238,0.015947621,-0.4529785647988319,0.9205868989229202,0.2,4.0210676193237305,11.230841064453125,0.0003,0.065625,,
167,50.06896551724138,26,50.06896551724138,137,4384,2720,-0.040200581587851045,0.017998174,-0.41243238002061844,0.8708223104476929,0.2,5.1938886642456055,14.301784086227418,0.0003,0.0875,,
167,50.06896551724138,26,50.06896551724138,138,4416,2740,-0.022074276488274334,0.01583294,-0.4449552997946739,0.8287694007158279,0.2,2.7455451488494873,8.682598638534547,0.0003,0.0765625,,
167,50.53409090909091,26,50.53409090909091,139,4448,2760,-0.00037755314260721204,0.0023695948,-0.49389427751302717,0.9698536805808544,0.2,0.6502891182899475,2.1964811861515043,0.0003,0.0,,
167,50.53409090909091,26,50.53409090909091,140,4480,2780,-0.007548401597887278,0.0017337874,-0.5062217801809311,0.5811842978000641,0.2,22.755361557006836,97.74616775512695,0.0003,0.0,,
167,50.53409090909091,26,50.53409090909091,141,4512,2800,-0.04250862644985318,0.05956891,-0.4265701979398727,0.20214909315109253,0.2,2.777920722961426,6.030388522148132,0.0003,0.165625,,
168,50.53409090909091,27,50.53409090909091,142,4544,2820,-0.03140964275225997,0.018423354,-0.39100153744220734,0.8884935453534126,0.2,0.4040868282318115,1.8225373476743698,0.0003,0.0734375,,
168,50.53409090909091,27,50.53409090909091,143,4576,2840,-0.022269121930003168,0.021125313,-0.45649303048849105,-2.838855743408203,0.2,0.3795379400253296,4.722007006406784,0.0003,0.1078125,,
168,50.53409090909091,27,50.53409090909091,144,4608,2860,-0.022368556726723908,0.025065606,-0.4719745233654976,-0.0022356510162353516,0.2,0.3934918940067291,2.405466654896736,0.0003,0.1671875,,
