time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,time/fps,time/episodes,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
11600,50.0,-1.79,1.0,219,52,232,,,,4.484600067138672,0.3905673921108246,0.015785779803991318,0.001,0.0012640684144571424,10599
11800,50.0,-1.77,1.0,224,52,236,,,,-3.5076920986175537,0.17256814241409302,0.014743005856871605,0.001,0.0012723075924441218,10799
12000,,,,,,,-1.2,1.0,50.0,0.8820896148681641,0.3048780858516693,0.012666355818510056,0.001,0.0011910985922440886,10999
12000,50.0,-1.78,1.0,228,52,240,,,,,,,,,
12200,50.0,-1.79,1.0,232,52,244,,,,-1.5769519805908203,0.1608067899942398,0.011684922501444817,0.001,0.0011809838470071554,11199
12400,50.0,-1.81,1.0,236,52,248,,,,-0.3322440981864929,0.29455530643463135,0.02115212380886078,0.001,0.0011141664581373334,11399
12600,50.0,-1.8,1.0,240,52,252,,,,1.1839711666107178,0.33614835143089294,0.011427734047174454,0.001,0.001101386034861207,11599
12800,50.0,-1.78,1.0,243,52,256,,,,-3.865069627761841,0.19812846183776855,0.01935173198580742,0.001,0.0010454867733642459,11799
13000,,,,,,,-1.6,1.0,50.0,0.057892560958862305,0.37894105911254883,0.02250930666923523,0.001,0.000982052180916071,11999
13000,50.0,-1.78,1.0,249,52,260,,,,,,,,,
13200,50.0,-1.75,1.0,254,51,264,,,,2.3121256828308105,0.31316640973091125,0.01880447193980217,0.001,0.0009289277368225157,12199
13400,50.0,-1.71,1.0,259,51,268,,,,2.0434110164642334,0.2642979025840759,0.018193870782852173,0.001,0.000927767890971154,12399
13600,50.0,-1.7,1.0,262,51,272,,,,-1.282031536102295,0.21633505821228027,0.015156017616391182,0.001,0.000921562488656491,12599
13800,50.0,-1.69,1.0,266,51,276,,,,-3.4711713790893555,0.28390127420425415,0.015276925638318062,0.001,0.0008675449062138796,12799
14000,,,,,,,-1.4,1.0,50.0,0.952153205871582,0.1949419379234314,0.010950298979878426,0.001,0.0008185384212993085,12999
14000,50.0,-1.73,1.0,273,51,280,,,,,,,,,
14200,50.0,-1.78,1.0,277,51,284,,,,-1.96598482131958,0.24823689460754395,0.022804833948612213,0.001,0.0008383375243283808,13199
14400,50.0,-1.81,1.0,281,51,288,,,,-1.6112384796142578,0.3295990228652954,0.0072012185119092464,0.001,0.0008579043787904084,13399
14600,50.0,-1.8,1.0,285,51,292,,,,-1.9101427793502808,0.3386348485946655,0.013252969831228256,0.001,0.0008304434595629573,13599
14800,50.0,-1.74,1.0,288,51,296,,,,-1.9251554012298584,0.3123326301574707,0.008253160864114761,0.001,0.0008061340777203441,13799
15000,,,,,,,-2.4,1.0,50.0,0.8510407209396362,0.3390536904335022,0.03148764371871948,0.001,0.0008240932947956026,13999
15000,50.0,-1.73,1.0,292,51,300,,,,,,,,,
15200,50.0,-1.71,1.0,296,51,304,,,,-0.2691900134086609,0.2677538990974426,0.010733393020927906,0.001,0.000828425632789731,14199
15400,50.0,-1.71,1.0,300,51,308,,,,0.14397311210632324,0.24785061180591583,0.016120459884405136,0.001,0.0008228677907027304,14399
15600,50.0,-1.7,1.0,304,51,312,,,,4.582465171813965,0.2882493734359741,0.017577797174453735,0.001,0.00085219502216205,14599
15800,50.0,-1.71,1.0,308,51,316,,,,1.3256951570510864,0.2810366749763489,0.014602857641875744,0.001,0.0008518956019543111,14799
16000,,,,,,,-2.2,1.0,50.0,0.9442992210388184,0.23781386017799377,0.022971320897340775,0.001,0.0008048996096476912,14999
16000,50.0,-1.71,1.0,312,51,320,,,,,,,,,
16200,50.0,-1.71,1.0,316,51,324,,,,-2.4041521549224854,0.21005778014659882,0.011523867025971413,0.001,0.0007265454041771591,15199
16400,50.0,-1.68,1.0,320,51,328,,,,-0.07164248824119568,0.26471346616744995,0.015201153233647346,0.001,0.0007091605802997947,15399
16600,50.0,-1.72,1.0,325,51,332,,,,5.816981792449951,0.3331356644630432,0.02412283979356289,0.001,0.0006951690302230418,15599
16800,50.0,-1.76,1.0,329,50,336,,,,-0.24118709564208984,0.33220726251602173,0.019981440156698227,0.001,0.000672565249260515,15799
17000,,,,,,,-1.0,1.0,50.0,0.7259629964828491,0.35888320207595825,0.01916494220495224,0.001,0.0006509851664304733,15999
17000,50.0,-1.75,1.0,335,50,340,,,,,,,,,
17200,50.0,-1.78,1.0,339,50,344,,,,-1.748260498046875,0.37278199195861816,0.0076744770631194115,0.001,0.0006366745219565928,16199
17400,50.0,-1.77,1.0,344,50,348,,,,-2.5421814918518066,0.24550065398216248,0.009326739236712456,0.001,0.0006102965562604368,16399
17600,50.0,-1.73,1.0,350,50,352,,,,0.7647205591201782,0.4253422021865845,0.00870661623775959,0.001,0.0005802609957754612,16599
17800,50.0,-1.72,1.0,354,50,356,,,,1.4077110290527344,0.2592019736766815,0.015518938191235065,0.001,0.0005286448867991567,16799
18000,,,,,,,-1.6,1.0,50.0,5.426944732666016,0.2775827944278717,0.012623343616724014,0.001,0.000521469977684319,16999
18000,50.0,-1.68,1.0,359,50,360,,,,,,,,,
18200,50.0,-1.68,1.0,362,50,364,,,,-1.528642177581787,0.21921683847904205,0.007921657525002956,0.001,0.0005071487394161522,17199
18400,50.0,-1.69,1.0,366,50,368,,,,-4.4885759353637695,0.20045721530914307,0.005594185553491116,0.001,0.0005492679192684591,17399
18600,50.0,-1.65,1.0,370,50,372,,,,-4.085458278656006,0.14949390292167664,0.012816909700632095,0.001,0.0005563388112932444,17599
18800,50.0,-1.64,1.0,373,50,376,,,,2.4642062187194824,0.3163275718688965,0.009849085472524166,0.001,0.0004909596173092723,17799
