#{"t_start": 1650463778.214514, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,2.340925,0.0
-50.0,50,2.436678,0.0
-50.0,50,2.531422,0.0
-50.0,50,2.62617,0.0
-50.0,50,2.737179,0.0
-50.0,50,2.837909,0.0
-50.0,50,2.928667,0.0
-50.0,50,3.021376,0.0
-50.0,50,3.148519,0.0
-50.0,50,3.245261,0.0
-50.0,50,3.342999,0.0
-50.0,50,3.444727,0.0
-50.0,50,3.560522,0.0
-50.0,50,3.659259,0.0
-46.0,50,3.772954,0.0
-50.0,50,3.866704,0.0
-50.0,50,3.965033,0.0
-49.0,50,4.065764,0.0
-50.0,50,4.155524,0.0
-50.0,50,4.248276,0.0
-50.0,50,6.593933,0.0
-49.0,50,7.950489,0.0
-50.0,50,8.857065,0.0
-50.0,50,9.784031,0.0
-49.0,50,10.775966,0.0
-41.0,50,11.657804,1.0
-50.0,50,12.551044,0.0
-49.0,50,13.383589,0.0
-50.0,50,14.248285,0.0
-50.0,50,15.16813,0.0
-50.0,50,16.070157,0.0
-50.0,50,16.958313,0.0
-50.0,50,17.838213,0.0
-50.0,50,18.776227,0.0
-50.0,50,19.688406,0.0
-48.0,50,20.596614,0.0
-50.0,50,21.495305,0.0
-50.0,50,22.385693,0.0
-50.0,50,23.276271,0.0
-50.0,50,24.248193,0.0
-50.0,50,25.893372,0.0
-50.0,50,26.800338,0.0
-50.0,50,27.665452,0.0
-50.0,50,28.489687,0.0
-45.0,50,29.361094,0.0
-50.0,50,30.201286,0.0
-50.0,50,31.049948,0.0
-49.0,50,31.882046,0.0
-46.0,50,32.994961,0.0
-50.0,50,33.859161,0.0
-35.0,50,35.160886,0.0
-25.0,50,36.240635,0.0
-42.0,50,37.159306,0.0
-50.0,50,37.995042,0.0
-34.0,50,38.842797,0.0
-40.0,50,39.677846,1.0
-18.0,50,40.531512,1.0
-8.0,50,41.381247,1.0
-17.0,50,42.220679,1.0
-12.0,50,43.057442,0.0
-8.0,50,44.810016,1.0
-16.0,50,45.953234,0.0
-12.0,50,46.823906,1.0
-2.0,50,47.686528,1.0
-4.0,50,48.721244,1.0
-3.0,50,49.650298,1.0
-4.0,50,50.889059,1.0
-3.0,50,52.136395,1.0
-2.0,50,53.100369,1.0
-2.0,50,53.982126,1.0
-2.0,50,54.890131,1.0
-4.0,50,55.779442,1.0
-2.0,50,56.666806,1.0
0.0,50,57.539024,1.0
-3.0,50,58.395595,1.0
-1.0,50,59.23109,1.0
-2.0,50,60.096946,1.0
-1.0,50,60.921749,1.0
-2.0,50,61.782556,1.0
-1.0,50,62.636644,1.0
-3.0,50,64.488125,1.0
-2.0,50,65.617587,1.0
-1.0,50,66.612392,1.0
-3.0,50,67.467109,1.0
-2.0,50,68.420047,1.0
-2.0,50,69.506463,1.0
-1.0,50,70.375174,1.0
-1.0,50,71.204583,1.0
-2.0,50,72.101889,1.0
-2.0,50,72.974607,1.0
-2.0,50,73.849324,1.0
-2.0,50,75.049252,1.0
-2.0,50,75.992866,1.0
-2.0,50,76.840868,1.0
-1.0,50,77.675199,1.0
-2.0,50,78.507972,1.0
-6.0,50,79.376111,1.0
-4.0,50,80.23461,1.0
-3.0,50,81.561984,1.0
-3.0,50,82.686476,1.0
-2.0,50,84.726307,1.0
0.0,50,85.865148,1.0
-1.0,50,86.770771,1.0
-2.0,50,87.653267,1.0
-2.0,50,88.544142,1.0
-2.0,50,89.383163,1.0
-3.0,50,90.259051,1.0
-3.0,50,91.103433,1.0
-1.0,50,91.957142,1.0
-4.0,50,92.794113,1.0
-3.0,50,93.662741,1.0
-2.0,50,94.515453,1.0
-3.0,50,95.375797,1.0
-1.0,50,96.262422,1.0
-2.0,50,97.428432,1.0
-3.0,50,98.384684,1.0
-1.0,50,99.263083,1.0
0.0,50,100.115109,1.0
-3.0,50,100.949864,1.0
-2.0,50,102.094005,1.0
-1.0,50,103.874485,1.0
-3.0,50,105.058375,1.0
-3.0,50,105.930475,1.0
-2.0,50,106.831346,1.0
-1.0,50,107.715105,1.0
-2.0,50,108.559812,1.0
0.0,50,109.406644,1.0
-3.0,50,110.274901,1.0
-1.0,50,111.131852,1.0
-2.0,50,111.981298,1.0
-3.0,50,112.809619,1.0
-3.0,50,113.671806,1.0
-2.0,50,114.530205,1.0
-1.0,50,115.371526,1.0
-2.0,50,116.330494,1.0
-3.0,50,117.197411,1.0
-1.0,50,118.151885,1.0
-2.0,50,119.051579,1.0
-2.0,50,120.321155,1.0
-1.0,50,121.237184,1.0
-2.0,50,122.823796,1.0
-2.0,50,123.665644,1.0
0.0,50,124.504401,1.0
-1.0,50,125.360517,1.0
-2.0,50,126.280269,1.0
-2.0,50,127.133157,1.0
-1.0,50,127.977535,1.0
-1.0,50,128.830386,1.0
-2.0,50,129.712181,1.0
-3.0,50,130.560052,1.0
-2.0,50,131.399799,1.0
-2.0,50,132.23866,1.0
-1.0,50,133.122101,1.0
-3.0,50,133.972195,1.0
-4.0,50,135.22204,1.0
-1.0,50,136.410637,1.0
-3.0,50,137.36675,1.0
-2.0,50,138.331793,1.0
-1.0,50,139.342517,1.0
-3.0,50,140.562443,1.0
-2.0,50,142.586082,1.0
-1.0,50,144.250646,1.0
-3.0,50,145.327408,1.0
-2.0,50,146.903437,1.0
-1.0,50,149.192233,1.0
-3.0,50,152.304908,1.0
-2.0,50,154.385344,1.0
-3.0,50,156.120142,1.0
-2.0,50,157.919608,1.0
-1.0,50,159.579908,1.0
-3.0,50,161.004062,1.0
-2.0,50,162.255717,1.0
-3.0,50,163.613087,1.0
-2.0,50,164.711489,1.0
-2.0,50,166.015352,1.0
-1.0,50,166.952461,1.0
-2.0,50,167.873132,1.0
-1.0,50,168.754998,1.0
-2.0,50,169.611707,1.0
-1.0,50,170.479784,1.0
0.0,50,172.220114,1.0
-2.0,50,173.069432,1.0
-1.0,50,173.915945,1.0
-1.0,50,174.755225,1.0
-1.0,50,175.635305,1.0
0.0,50,176.481044,1.0
-2.0,50,177.339171,1.0
-1.0,50,178.199567,1.0
-2.0,50,179.068902,1.0
-1.0,50,179.91928,1.0
-2.0,50,180.795593,1.0
-3.0,50,181.650344,1.0
-3.0,50,182.528641,1.0
-3.0,50,183.385507,1.0
-2.0,50,184.247921,1.0
-2.0,50,185.097176,1.0
-2.0,50,185.99795,1.0
-4.0,50,186.865447,1.0
-2.0,50,187.746651,1.0
-1.0,50,188.600322,1.0
-2.0,50,190.251232,1.0
-2.0,50,191.098246,1.0
-2.0,50,191.950388,1.0
-3.0,50,192.823067,1.0
-2.0,50,193.700155,1.0
-2.0,50,194.897946,1.0
-3.0,50,196.156587,1.0
-2.0,50,197.263139,1.0
-2.0,50,198.139804,1.0
-3.0,50,199.130973,1.0
-1.0,50,200.163259,1.0
-1.0,50,201.167436,1.0
-2.0,50,202.497913,1.0
-1.0,50,203.521002,1.0
-2.0,50,204.500183,1.0
-2.0,50,205.524372,1.0
-2.0,50,206.454369,1.0
-1.0,50,207.328557,1.0
-2.0,50,208.207208,1.0
-1.0,50,209.066325,1.0
-1.0,50,210.698328,1.0
0.0,50,211.600883,1.0
-2.0,50,212.469018,1.0
-2.0,50,213.558202,1.0
-3.0,50,214.722984,1.0
-1.0,50,215.693625,1.0
-2.0,50,216.701622,1.0
-1.0,50,217.702348,1.0
0.0,50,218.706645,1.0
-1.0,50,220.142549,1.0
-2.0,50,221.180548,1.0
0.0,50,222.126176,1.0
-2.0,50,223.215497,1.0
-1.0,50,224.314776,1.0
-2.0,50,225.442516,1.0
-1.0,50,226.392611,1.0
-2.0,50,227.321139,1.0
0.0,50,228.31003,1.0
-2.0,50,229.204576,1.0
-3.0,50,230.195273,1.0
-1.0,50,231.913527,1.0
0.0,50,232.880963,1.0
-2.0,50,233.846941,1.0
-3.0,50,234.820935,1.0
-2.0,50,235.805259,1.0
-2.0,50,236.765587,1.0
-2.0,50,237.666668,1.0
-2.0,50,238.664322,1.0
-2.0,50,239.629961,1.0
-2.0,50,240.550504,1.0
-2.0,50,241.420874,1.0
-2.0,50,242.265547,1.0
-1.0,50,243.150186,1.0
-3.0,50,244.116952,1.0
-3.0,50,245.114243,1.0
0.0,50,246.038735,1.0
-3.0,50,247.139956,1.0
-2.0,50,248.617221,1.0
-3.0,50,250.105766,1.0
-1.0,50,251.189184,1.0
0.0,50,253.136521,1.0
-2.0,50,254.273179,1.0
-1.0,50,255.274859,1.0
-2.0,50,256.261729,1.0
-1.0,50,257.496838,1.0
-1.0,50,258.934388,1.0
-2.0,50,260.239998,1.0
-1.0,50,261.25484,1.0
-3.0,50,262.128619,1.0
-2.0,50,262.982886,1.0
-1.0,50,263.83724,1.0
-1.0,50,264.752389,1.0
-1.0,50,265.912796,1.0
-2.0,50,267.21758,1.0
-1.0,50,268.185752,1.0
-3.0,50,269.219888,1.0
-1.0,50,270.25179,1.0
-2.0,50,271.642772,1.0
-3.0,50,273.552608,1.0
-4.0,50,274.709831,1.0
-4.0,50,276.650743,1.0
-2.0,50,277.697497,1.0
-2.0,50,278.634311,1.0
-1.0,50,279.488718,1.0
-1.0,50,280.465494,1.0
-1.0,50,281.719942,1.0
-2.0,50,282.652554,1.0
-3.0,50,283.615066,1.0
-1.0,50,284.582273,1.0
-2.0,50,285.520569,1.0
-2.0,50,286.374865,1.0
-2.0,50,287.241137,1.0
-1.0,50,288.102833,1.0
-2.0,50,288.944669,1.0
0.0,50,289.787424,1.0
-1.0,50,290.645575,1.0
-2.0,50,291.506968,1.0
-3.0,50,292.364679,1.0
-1.0,50,293.244634,1.0
-2.0,50,294.227907,1.0
-1.0,50,296.033771,1.0
-2.0,50,296.911871,1.0
-2.0,50,298.074762,1.0
-2.0,50,299.053336,1.0
-3.0,50,300.214365,1.0
-2.0,50,301.185497,1.0
-2.0,50,302.062886,1.0
-2.0,50,303.11012,1.0
-2.0,50,304.228914,1.0
-2.0,50,305.159984,1.0
-1.0,50,306.042602,1.0
-1.0,50,306.899881,1.0
-2.0,50,307.839108,1.0
-2.0,50,308.770915,1.0
-2.0,50,309.739317,1.0
-2.0,50,310.640473,1.0
-2.0,50,311.669972,1.0
-1.0,50,312.589074,1.0
-1.0,50,313.457582,1.0
-2.0,50,314.327257,1.0
-1.0,50,316.244527,1.0
-2.0,50,317.273196,1.0
0.0,50,318.290106,1.0
-2.0,50,319.182775,1.0
-1.0,50,320.100938,1.0
-1.0,50,321.056457,1.0
-1.0,50,321.977892,1.0
-1.0,50,322.905801,1.0
-1.0,50,324.093477,1.0
-3.0,50,325.414272,1.0
-2.0,50,326.520159,1.0
-1.0,50,327.495502,1.0
-3.0,50,328.503281,1.0
-3.0,50,329.493884,1.0
-2.0,50,330.578507,1.0
-2.0,50,331.820189,1.0
-1.0,50,332.889931,1.0
-2.0,50,334.131818,1.0
-2.0,50,335.807398,1.0
-1.0,50,336.918858,1.0
-2.0,50,338.989148,1.0
-2.0,50,339.953763,1.0
-2.0,50,340.823749,1.0
-3.0,50,342.194105,1.0
-1.0,50,343.72812,1.0
-3.0,50,344.829982,1.0
-2.0,50,345.923665,1.0
-1.0,50,347.214202,1.0
-1.0,50,349.310684,1.0
0.0,50,350.567482,1.0
-2.0,50,351.685322,1.0
-1.0,50,352.651866,1.0
-3.0,50,353.566225,1.0
-2.0,50,354.467199,1.0
-1.0,50,355.353232,1.0
0.0,50,356.394906,1.0
0.0,50,357.572087,1.0
-1.0,50,358.534446,1.0
-2.0,50,359.540039,1.0
-2.0,50,360.479077,1.0
-1.0,50,362.114325,1.0
-2.0,50,362.971579,1.0
-1.0,50,363.825956,1.0
-1.0,50,364.676681,1.0
-3.0,50,365.582248,1.0
-1.0,50,366.427269,1.0
-2.0,50,367.281856,1.0
0.0,50,368.507558,1.0
0.0,50,369.719119,1.0
-1.0,50,370.672142,1.0
-1.0,50,371.537692,1.0
-1.0,50,372.413113,1.0
-1.0,50,373.328001,1.0
-3.0,50,374.194685,1.0
-1.0,50,375.111408,1.0
-1.0,50,376.013982,1.0
