Wall time,Step,Value
1650595439.904449,2048,23.4252872467041
1650595445.1417203,4096,25.889999389648438
1650595450.753193,6144,30.670000076293945
1650595455.2021613,8192,43.560001373291016
1650595461.7700477,10240,57.619998931884766
1650595467.3631368,12288,73.77999877929688
1650595472.2070153,14336,90.31999969482422
1650595478.50137,16384,106.01000213623047
1650595483.1268225,18432,123.44000244140625
1650595489.5310318,20480,138.1199951171875
1650595495.1426463,22528,151.92999267578125
1650595500.7168303,24576,166.22000122070312
1650595505.185449,26624,176.9199981689453
1650595510.217254,28672,186.99000549316406
1650595515.1909637,30720,193.8000030517578
1650595519.4795291,32768,198.1199951171875
1650595524.6130319,34816,198.36000061035156
1650595529.487308,36864,198.77999877929688
1650595534.148877,38912,198.77999877929688
1650595539.591232,40960,198.77999877929688
1650595544.4426837,43008,198.77999877929688
1650595548.8424022,45056,198.77999877929688
1650595553.4403112,47104,198.77999877929688
1650595557.7106314,49152,198.77999877929688
1650595562.7118917,51200,198.97000122070312
