Wall time,Step,Value
1650595273.688514,2048,20.09000015258789
1650595278.052159,4096,26.959999084472656
1650595282.5157912,6144,36.400001525878906
1650595287.575658,8192,47.97999954223633
1650595294.006248,10240,61.79999923706055
1650595299.675729,12288,75.27999877929688
1650595304.7220092,14336,91.98999786376953
1650595310.3896446,16384,107.27999877929688
1650595315.601057,18432,124.62000274658203
1650595320.5804315,20480,140.66000366210938
1650595325.8803484,22528,155.69000244140625
1650595330.8617692,24576,166.7100067138672
1650595335.6421623,26624,177.14999389648438
1650595340.9662132,28672,188.47999572753906
1650595347.466164,30720,192.50999450683594
1650595353.0988946,32768,195.35000610351562
1650595359.2937775,34816,196.6999969482422
1650595365.8221369,36864,198.35000610351562
1650595372.0682123,38912,198.86000061035156
1650595377.8058212,40960,198.92999267578125
1650595382.206622,43008,200.0
1650595386.5582378,45056,200.0
1650595390.7738092,47104,200.0
1650595395.2364526,49152,200.0
1650595400.4366117,51200,200.0
