#{"t_start": 1650614880.329299, "env_id": "Pendulum-v1"}
r,l,t
-917.610684,200,3.422354
-1794.219645,200,3.724545
-1167.248309,200,3.977868
-1277.311105,200,4.23119
-1768.148984,200,4.502465
-893.825132,200,4.756785
-1347.762858,200,4.996145
-1332.068695,200,5.239494
-1296.470607,200,5.503788
-875.019461,200,5.762097
-1385.012335,200,7.839032
-874.93829,200,8.115296
-882.630603,200,8.361635
-964.433029,200,8.602991
-1609.296431,200,8.856314
-1294.37722,200,9.099654
-906.558236,200,9.34878
-1063.066567,200,9.595124
-968.577121,200,9.855425
-1441.249727,200,10.110743
-1199.214029,200,12.116357
-1661.034436,200,12.416554
-1164.377258,200,12.696807
-1751.912301,200,12.965088
-1448.65493,200,13.226389
-903.820603,200,13.500166
-893.032371,200,13.761467
-1607.084805,200,14.182405
-1291.268819,200,14.650072
-866.950484,200,14.939298
-1742.544522,200,17.649125
-1311.248943,200,17.941344
-1068.584718,200,18.20464
-862.301624,200,18.495861
-1171.323793,200,18.769665
-1535.214207,200,19.029969
-863.572041,200,19.327175
-882.596575,200,19.588477
-1246.823309,200,19.866259
-1164.245536,200,20.146529
-778.091587,200,22.141869
-759.753411,200,22.416135
-1357.18346,200,22.680429
-1347.791768,200,22.969672
-865.637618,200,23.232967
-947.756764,200,23.495266
-875.684097,200,23.746594
-915.980331,200,23.997922
-1545.888998,200,24.286673
-1302.875898,200,24.867111
-1419.993659,200,26.472405
-1195.227179,200,29.335008
-1539.370574,200,29.61478
-767.25763,200,29.862119
-1764.338097,200,30.101479
-865.026175,200,30.348818
-909.11083,200,30.603659
-1174.644335,200,30.86496
-1262.898323,200,31.114308
-1268.160679,200,31.36065
-1452.761354,200,31.635914
-1314.492095,200,33.70214
-1085.88779,200,33.978401
-1192.891718,200,34.233718
-964.982413,200,34.495582
-1096.636778,200,34.745681
-1184.474692,200,35.009982
-876.597536,200,35.259663
-776.575009,200,35.514473
-866.202859,200,35.76281
-882.805285,200,36.016147
-1499.056134,200,38.055618
-1303.533177,200,38.31692
-919.739161,200,38.593146
-989.558044,200,38.877387
-1031.187654,200,39.153105
-1002.990809,200,39.419349
-1035.989004,200,39.688629
-981.25333,200,39.968417
-1079.705269,200,40.252655
-1033.187688,200,40.559346
-1467.397031,200,42.70747
-839.268169,200,42.981701
-878.71847,200,43.264724
-753.642636,200,43.524992
-1180.242251,200,43.812225
-1294.284193,200,44.142924
-1834.320603,200,44.458081
-1066.383333,200,44.720937
-894.632447,200,44.991179
-1605.449522,200,45.275454
-1374.125253,200,45.529782
-1219.785906,200,47.63946
-1520.400042,200,47.887795
-1133.752741,200,48.130147
-1710.029982,200,48.380478
-1513.81679,200,48.650756
-956.854297,200,48.902616
-1304.759703,200,49.150952
-969.190627,200,49.437189
-1336.505827,200,50.763172
-1294.236556,200,51.070351
-896.962929,200,53.588003
-1699.42509,200,53.842321
-1420.971036,200,54.092652
-1396.638714,200,54.350375
-1202.55728,200,54.642593
-1347.915414,200,54.915863
-1079.81933,200,55.193688
-1059.069491,200,55.451791
-1637.148776,200,55.705071
-1508.74892,200,55.961427
-1095.772169,200,57.958869
-975.078389,200,58.205213
-1090.511902,200,58.457047
-1358.447538,200,58.722295
-858.19446,200,58.975661
-1499.258267,200,59.221959
-1634.082482,200,59.467219
-1116.987266,200,59.739062
-1617.31399,200,60.03826
-1082.786503,200,60.314217
-1136.00144,200,62.349738
-1526.047092,200,62.601065
-905.261687,200,62.868351
-1677.855039,200,63.123668
-1541.297646,200,63.391974
-1717.112221,200,63.636299
-1070.001249,200,63.879397
-1121.761954,200,64.127733
-1150.139368,200,64.382053
-1340.774597,200,64.625449
-988.529097,200,64.884758
-1352.363325,200,67.036896
-1292.910081,200,67.29824
-1072.650345,200,67.551562
-1541.606467,200,67.803659
-1341.95243,200,68.049004
-1036.393724,200,68.303323
-1035.508278,200,68.578564
-1306.764295,200,68.864815
-1691.839726,200,69.119102
-1031.405478,200,69.415878
-1048.418079,200,71.559278
-897.078155,200,71.811603
-1003.040203,200,72.086606
-895.009282,200,72.354888
-1069.587808,200,72.615726
-1013.968658,200,72.871044
-1075.399848,200,73.121373
-1441.830201,200,74.425982
-936.371915,200,74.765722
-872.875546,200,75.088902
