time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
35,23.0,23.0,0,32,1,,,,,,,,,,,,
60,21.0,21.0,1,64,2,20,0.0003,0.0,-0.004736158158630132,6.384359359741211,-0.6923756510019302,0.002352871,0.2,0.01041412353515625,13.55339298248291,,
77,21.25,21.25,1,96,3,40,0.0003,0.0,-0.00306865107268095,6.941977024078369,-0.6894548445940017,0.0017001648,0.2,0.027655184268951416,14.36265034675598,,
88,20.8,20.8,1,128,4,60,0.0003,0.0,-0.0037400877103209496,5.453014373779297,-0.6803803384304047,0.0029250663,0.2,0.10649406909942627,11.989573526382447,,
97,21.857142857142858,21.857142857142858,1,160,5,80,0.0003,0.0140625,-0.014503787830471992,6.652432918548584,-0.6682465106248856,0.0064953202,0.2,0.11689066886901855,13.971929836273194,,
99,22.25,22.25,1,192,6,100,0.0003,0.0,-0.0033144641667604445,4.245545387268066,-0.6604446858167649,0.0012385463,0.2,-0.02435457706451416,9.85903058052063,,
105,21.8,21.8,2,224,7,120,0.0003,0.0,-0.005502009857445955,5.091175556182861,-0.684599494934082,0.0017243223,0.2,-0.05498075485229492,11.749311304092407,,
110,21.8,21.8,2,256,8,140,0.0003,0.0,0.00043391799554228785,3.9631502628326416,-0.6525052636861801,5.3600408e-05,0.2,0.10363262891769409,8.81921911239624,,
114,23.333333333333332,23.333333333333332,2,288,9,160,0.0003,0.0,-0.008370183315128088,7.056857585906982,-0.6804170250892639,0.0018227482,0.2,-0.8375129699707031,16.077982807159422,,
117,23.0,23.0,2,320,10,180,0.0003,0.0453125,-0.024040547478944064,3.6286275386810303,-0.6381664514541626,0.011486606,0.2,0.15214240550994873,8.47038459777832,,
121,23.0,23.0,2,352,11,200,0.0003,0.021875,-0.018198891449719666,4.933588027954102,-0.6551885336637497,0.006341205,0.2,-0.5694608688354492,11.435363578796387,,
123,23.0,23.0,3,384,12,220,0.0003,0.0,-0.0020490318536758425,6.162397384643555,-0.6207230806350708,0.0013041962,0.2,-1.3116319179534912,14.652377939224243,,
126,27.714285714285715,27.714285714285715,3,416,13,240,0.0003,0.0,-0.00882428903132677,4.045797824859619,-0.6618229627609253,0.0047233794,0.2,0.07608067989349365,11.372395706176757,,
129,28.0,28.0,3,448,14,260,0.0003,0.0,8.241795003414155e-05,6.049377918243408,-0.6336507618427276,0.00073216576,0.2,-0.3446674346923828,14.076769542694091,,
131,27.764705882352942,27.764705882352942,3,480,15,280,0.0003,0.0,-0.0022993949241936207,5.496649742126465,-0.6597211092710495,0.001964067,0.2,-0.5358870029449463,12.101403713226318,,
133,26.842105263157894,26.842105263157894,3,512,16,300,0.0003,0.0015625,-0.016112784575670957,3.5354604721069336,-0.6387907117605209,0.010193441,0.2,0.2556217312812805,8.49581401348114,,
134,25.761904761904763,25.761904761904763,4,544,17,320,0.0003,0.153125,-0.013541436474770307,6.327978134155273,-0.6269598692655564,0.0175642,0.2,-0.684680700302124,13.930159950256348,,
136,25.727272727272727,25.727272727272727,4,576,18,340,0.0003,0.134375,-0.010435166954994201,5.26092004776001,-0.6069294422864914,0.009788536,0.2,-0.3792611360549927,11.886143064498901,,
138,24.875,24.875,4,608,19,360,0.0003,0.0,-0.005458864569664002,4.216934680938721,-0.5551553338766098,0.0031670406,0.2,-0.21675550937652588,10.212645387649536,,
140,23.923076923076923,23.923076923076923,4,640,20,380,0.0003,0.0,-0.002924412488937378,2.987733840942383,-0.6287746429443359,0.0024189195,0.2,0.1241605281829834,7.275190782546997,,
141,23.75,23.75,4,672,21,400,0.0003,0.01875,-0.010055419430136681,2.672170400619507,-0.6195079475641251,0.007402922,0.2,0.43964260816574097,7.037827849388123,,
143,24.06896551724138,24.06896551724138,4,704,22,420,0.0003,0.09375,-0.017205062322318554,1.7190064191818237,-0.6566954016685486,0.015631936,0.2,0.5929244756698608,4.144146680831909,,
144,23.451612903225808,23.451612903225808,5,736,23,440,0.0003,0.0265625,-0.013106254581362008,1.6009910106658936,-0.6665398508310318,0.01083102,0.2,0.7332659959793091,3.9516950845718384,,
145,23.451612903225808,23.451612903225808,5,768,24,460,0.0003,0.0640625,-0.026736751943826676,1.4257452487945557,-0.6860699027776718,0.016331688,0.2,0.8012298047542572,3.5754504680633543,,
146,23.451612903225808,23.451612903225808,5,800,25,480,0.0003,0.0,-0.022406068444252015,2.5970680713653564,-0.6868941187858582,0.0028055552,0.2,0.4025164842605591,7.457493615150452,,
147,25.8125,25.8125,5,832,26,500,0.0003,0.0,-0.009058230649679899,3.081183910369873,-0.6851113647222519,0.00071634166,0.2,-2.851189136505127,8.634293556213379,,
148,26.060606060606062,26.060606060606062,5,864,27,520,0.0003,0.0,-0.0027164396829903125,4.644966125488281,-0.6686648726463318,0.0019331872,0.2,0.21146363019943237,10.19432168006897,,
149,26.060606060606062,26.060606060606062,5,896,28,540,0.0003,0.009375,-0.017664596904069185,5.434487342834473,-0.6558382868766784,0.008769154,0.2,0.2767952084541321,11.769125747680665,,
150,27.11764705882353,27.11764705882353,6,928,29,560,0.0003,0.009375,-0.02762776054441929,2.101088523864746,-0.6344497859477997,0.009259254,0.2,0.585927814245224,5.918375396728516,,
151,27.114285714285714,27.114285714285714,6,960,30,580,0.0003,0.0,-0.0037668255157768727,5.031593322753906,-0.6367706507444382,0.0044593094,0.2,0.05306196212768555,12.446603584289551,,
151,26.486486486486488,26.486486486486488,6,992,31,600,0.0003,0.5046875,-0.038555840216577056,10.170648574829102,-0.6628144949674606,0.032984637,0.2,-0.09554588794708252,20.751693058013917,,
152,26.128205128205128,26.128205128205128,6,1024,32,620,0.0003,0.1984375,-0.010319812782108783,13.17853832244873,-0.6536296784877778,0.012048272,0.2,-0.015972018241882324,27.617107677459718,,
